Pop1,Pop2,NIBMG(EIGENSOFT),jacard_1
AA_T,CAO,NA,NA
AA_T,DR_T,0.007379,0.497
AA_T,DR_NT,0.012072,0.44
AA_T,IE_T,0.008787,0.479
AA_T,IE_NT,0.013582,0.443
AA_T,TB_T,0.020141,0.448
AA_T,TB_NT,0.022014,0.489
CAO,DR_T,NA,NA
CAO,DR_NT,NA,NA
CAO,IE_T,NA,NA
CAO,IE_NT,NA,NA
CAO,TB_T,NA,NA
CAO,TB_NT,NA,NA
DR_NT,DR_T,0.00608,0.481
DR_NT,IE_T,0.001945,0.474
DR_NT,IE_NT,0.001303,0.479
DR_NT,TB_T,0.033195,0.389
DR_NT,TB_NT,0.034524,0.452
DR_T,IE_T,0.005848,0.465
DR_T,IE_NT,0.008236,0.438
DR_T,TB_T,0.030375,0.417
DR_T,TB_NT,0.031884,0.467
IE_NT,TB_T,0.031697,0.416
IE_NT,TB_NT,0.033117,0.469
IE_NT,IE_T,0.001642,0.508
IE_T,TB_T,0.025379,0.437
IE_T,TB_NT,0.027,0.48
TB_T,TB_NT,0.003,0.591
AA_T,AA_T,,NA
CAO,CAO,,NA
DR_T,DR_T,,NA
DR_NT,DR_NT,,NA
IE_T,IE_T,,NA
IE_NT,IE_NT,,NA
TB_T,TB_T,,NA
TB_NT,TB_NT,,NA
